Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Overpaid (Cr),Premium %,Next WAR,Shortfall,Dud Score
108,Piyush Chawla,2021,MI,2.350256702795208,0.4416448230668379,2.132301055950207,0.21795564684500102,10.22161698212331,13.373377691387574,-12.931732868320736,28.272251308900522
109,Shimron Hetmyer,2022,RR,9.363636363636363,10.707152692778456,9.176641357343295,0.18699500629306876,2.0377281732104784,9.34765625,1.3594964427784557,50.78534031413612
110,Manish Pandey,2022,LSG,5.067379679144385,5.078167074663401,4.934656015143001,0.13272366400138402,2.6896234224654023,-0.37109375,5.449260824663401,59.68586387434556
111,Muttiah Muralitharan,2011,CSK,10.156374501992032,12.65009903169014,10.074158454628952,0.08221604736307953,0.8161083402981643,9.81507355554188,2.8350254761482585,54.712041884816756
112,R Ashwin,2022,RR,5.508021390374331,7.264155326697019,5.480890827189501,0.02713056318482998,0.4950028022861026,17.597484300239238,-10.33332897354222,25.916230366492144
113,Bhuvneshwar Kumar,2022,SRH,4.626737967914438,3.6948254090023536,4.617467257539514,0.009270710374924107,0.2007747940125978,9.581373355263151,-5.886547946260798,33.24607329842932
114,Vinay Kumar,2011,KTK,4.154880478087649,1.9825924295774664,4.252956215373302,-0.09807573728565266,-2.3060603570555243,0.2092697879919107,1.7733226415855556,50.78534031413612
115,Glenn Maxwell,2022,RCB,12.117647058823529,17.058313420917177,12.449535387358546,-0.33188832853501715,-2.665869192773425,20.41017120215311,-3.351857781235932,37.696335078534034
116,Suryakumar Yadav,2022,MI,8.81283422459893,10.757787637698897,9.198984300098651,-0.3861500754997209,-4.1977468696797295,29.140625,-18.382837362301103,20.680628272251308
117,Brad Hodge,2012,RR,4.447727272727273,10.247253618519474,4.846066255758008,-0.3983389830307349,-8.219841867771322,10.741978358033409,-0.49472473951393425,42.931937172774866
118,Ravichandran Ashwin,2011,CSK,7.848107569721115,16.214090008802813,8.42411884169289,-0.5760112719717743,-6.83764418328197,16.366262870264794,-0.15217286146198106,44.76439790575917
119,Ambati Rayudu,2014,MI,6.417445482866043,5.274894877675841,7.069364888378754,-0.6519194055127109,-9.221753521089193,8.636532738095237,-3.361637860419396,35.602094240837694
120,Jonny Bairstow,2022,PBK,7.4358288770053464,8.136145960832312,8.11071172268087,-0.6748828456755236,-8.320883157371687,8.332944373401531,-0.19679841256921904,43.97905759162303
121,Anrich Nortje,2022,DC,7.160427807486631,8.214864185110656,8.14143259558841,-0.9810047881017798,-12.049535221029231,5.578427781100487,2.636436404010169,50.26178010471204
122,Jasprit Bumrah,2018,MI,9.50560316413975,13.61887969557324,10.553952321411783,-1.0483491572720336,-9.933237571531855,20.073139082203262,-6.454259386630023,29.31937172774869
123,Dwayne Bravo,2014,CSK,6.417445482866043,6.572912255939761,7.524086959777924,-1.1066414769118813,-14.707983610871825,8.491657110432879,-1.9187448544931183,37.17277486910994
124,Manoj Tiwary,2011,KKR,4.385707171314741,7.444272667253521,5.528508101999469,-1.1428009306847278,-20.671054642597277,0.3536544850498302,7.0906181822036904,54.973821989528794
125,Muttiah Muralitharan,2012,RCB,2.06,1.74805682019095,3.221938772308049,-1.1619387723080488,-36.06334118744564,0.4038461538461497,1.3442106663448004,40.05235602094241
126,Mohammed Siraj,2022,RCB,7.711229946524064,10.015738740890864,8.876925742308428,-1.165695795784364,-13.131751122221589,17.54573116028709,-7.529992419396226,26.701570680628272
127,Mahela Jayawardene,2011,PBK,12.92629482071713,19.687323943661973,14.124977079842104,-1.1986822591249737,-8.486259852666416,2.684634551495016,17.002689392166957,66.2303664921466
128,Rahul Dravid,2011,RR,4.616533864541832,8.617473591549295,5.848951200629809,-1.2324173360879769,-21.070740613381616,3.447009966777408,5.170463624771887,51.832460732984295
129,Brett Lee,2011,KKR,3.693227091633466,-2.115080325704227,4.957285508817245,-1.264058417183779,-25.499003737740534,5.962808540389674,-8.0778888660939,22.5130890052356
