Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Premium %,Next WAR,Shortfall,Dud Score
51,Nathan Coulter-Nile,2020,MI,9.8978978978979,4.492567902527581,3.1394361310918493,215.2762943597632,4.816551096665671,-0.32398319413808974,68.27309236947791
52,Zaheer Khan,2015,DC,6.1082283172720535,6.246946721311472,2.1455309542635495,184.6954179399707,6.423399865801338,-0.17645314448986582,68.07228915662651
53,Karn Sharma,2014,SRH,6.016355140186915,7.221744148435652,3.971882120561563,51.47365801823685,3.1015105170628985,4.120233631372754,67.8714859437751
54,Sam Curran,2023,PBK,19.32555780933063,-1.4888473435472087,2.351098428812641,721.9799550923303,1.0700119434918918,-2.5588592870391005,67.67068273092369
55,Piyush Chawla,2014,KKR,6.818535825545171,7.687411785462235,4.062310570370289,67.84870844878917,4.898512388151165,2.78889939731107,67.46987951807229
56,Chris Lynn,2018,KKR,13.036255767963087,14.17384530791789,8.853342417278663,47.24671376677835,9.71504934210526,4.45879596581263,67.46987951807229
57,Shardul Thakur,2022,DC,11.842245989304812,1.8812999477895511,3.068123288246302,285.9768619687275,3.440460526315793,-1.559160578526242,67.46987951807229
58,Dhawal Kulkarni,2016,GL,2.9096045197740112,3.4628136824444957,1.8753461147684771,55.15026782846534,0.4013158078480654,3.06149787459643,66.66666666666666
59,Adam Gilchrist,2011,DCH,8.309760956175298,13.088028169014084,8.400600738554225,-1.0813486464369302,2.6732558139534888,10.414772355060595,66.66666666666666
60,Harshal Patel,2024,PBK,11.75,2.9946994617224973,1.8333833989621806,540.8915891052193,5.807366800531983,-2.8126673388094856,66.46586345381526
61,Stuart Binny,2016,RCB,2.9096045197740112,3.994474079924323,1.924171308081306,51.21338248595616,0.4602040566959937,3.5342700232283293,66.26506024096386
62,Rahul Tripathi,2018,RR,4.617007251153593,12.82857509426058,5.208500737254205,-11.356309923696642,0.7634662828947363,12.065108811365844,65.86345381526104
63,Manoj Tiwary,2011,KKR,4.385707171314741,7.444272667253521,4.01484122871009,9.237375066107042,0.3536544850498302,7.0906181822036904,65.46184738955823
64,Praveen Kumar,2016,GL,5.09180790960452,-1.0147997058018552,1.510334596075215,237.13111802088034,0.8652393171344772,-1.8800390229363324,65.06024096385542
65,Yusuf Pathan,2014,KKR,5.21417445482866,12.496992619383672,5.125675391969185,1.7265834468982044,4.579857504283579,7.917135115100093,64.65863453815261
66,Sreesanth,2011,KTK,8.309760956175298,0.915933098591545,2.928227158394102,183.78129518928907,1.8144171959538913,-0.8984840973623462,64.65863453815261
67,Parthiv Patel,2012,DCH,6.086363636363636,4.201309173886138,1.9435077321909142,213.1638498552555,5.81860665137615,-1.6172974774900126,64.45783132530121
68,Abhishek Sharma,2022,SRH,7.160427807486631,5.142789663316494,3.592099385702858,99.33824314511739,4.969011662679426,0.17377800063706772,64.35742971887551
69,Jacques Kallis,2011,RCB,10.156374501992032,16.937709066901405,10.118940823728614,0.3699367247571621,8.8123073308466,8.125401736054805,64.2570281124498
70,Kumar Sangakkara,2011,DCH,6.463147410358565,14.676936619718308,9.071304600331908,-28.75173202626129,0.666112956810629,14.01082366290768,64.2570281124498
71,Kuldeep Yadav,2018,KKR,7.876071193144364,3.4718981287529633,3.3133528611478806,137.70698513576883,3.953075322143992,-0.4811771933910287,64.05622489959839
72,Doug Bollinger,2011,CSK,6.001494023904383,9.778966769366193,7.158730802368447,-16.16539035217242,-0.3322893505370459,10.111256119903238,63.855421686746986
73,Yuvraj Singh,2016,SRH,10.18361581920904,2.5842828213869264,1.7973660190215333,466.5855319081247,6.491110180142446,-3.9068273587555193,63.855421686746986
74,Washington Sundar,2022,SRH,9.63903743315508,0.1446148740669182,2.82105014279985,241.68259850881208,2.3823489832535927,-2.2377341091866745,63.65461847389558
75,Shahrukh Khan,2022,PBK,9.914438502673796,4.052738678090575,3.4077092757963814,190.94144189741047,5.828125,-1.7753863219094246,63.45381526104417
76,Rishi Dhawan,2014,PBK,4.813084112149532,2.203574894142552,3.116298316205132,54.44876015626961,0.7422774104019423,1.4612974837406099,63.05220883534136
77,Rahul Dravid,2011,RR,4.616533864541832,8.617473591549295,4.249129138931076,8.646588832627982,3.447009966777408,5.170463624771887,62.85140562248996
78,Pragyan Ojha,2011,DCH,4.616533864541832,11.937896126760563,4.988991591767894,-7.4655914000864785,3.767172799248317,8.170723327512246,62.85140562248996
79,Faf Du Plessis,2014,CSK,7.620716510903426,9.105735613822068,6.9294924780267415,9.975103300401,4.4392609126984155,4.6664747011236525,62.44979919678715
80,Christopher Morris,2016,DC,10.18361581920904,11.014133074831632,4.303016719931457,136.66224144653697,12.0368469836615,-1.0227139088298678,62.24899598393574
81,Dwayne Smith,2014,CSK,7.219626168224298,8.816070483415661,6.833132757419907,5.656167156780451,3.646854437364659,5.169216046051002,62.048192771084345
82,Dirk Nannes,2011,RCB,6.001494023904383,10.417440580985918,7.38313651856536,-18.713489736872,1.1826923076923066,9.234748273293611,62.048192771084345
83,Siddarth Kaul,2018,SRH,5.160184574818722,3.370027929060183,3.297075611791146,56.50792345691569,2.373813941187954,0.9962139878722289,61.445783132530124
84,Karun Nair,2016,DC,5.8192090395480225,2.6567708333333364,1.8036755780711209,222.63058336528437,5.418917574361124,-2.762146741027788,61.04417670682731
85,Piyush Chawla,2011,PBK,8.309760956175298,9.502728873239436,4.434922317199299,87.37106000591687,9.888588724868988,-0.3858598516295526,60.040160642570285
86,Muttiah Muralitharan,2011,CSK,10.156374501992032,12.65009903169014,8.224621992097472,23.48743214886545,9.81507355554188,2.8350254761482585,59.63855421686747
87,Piyush Chawla,2018,KKR,5.703361898483851,0.0086443932411658,2.802567503794072,103.50488938313632,1.3306516292304584,-1.3220072359892927,58.835341365461844
88,Amit Mishra,2011,DCH,2.769920318725099,13.839001980633796,5.469237917917864,-49.35454700826754,2.6647482340908804,11.174253746542917,58.634538152610446
89,Vinay Kumar,2011,KTK,4.154880478087649,1.9825924295774664,3.083184118084479,34.75940193506815,0.2092697879919107,1.7733226415855556,58.634538152610446
90,Kane Williamson,2018,SRH,4.073829927488465,9.94744972769167,7.217276771304232,-43.5544727384442,0.9799547697368388,8.96749495795483,58.23293172690763
91,Dale Steyn,2011,DCH,10.156374501992032,19.26763864436619,11.325368139386505,-10.321904091832886,14.41474823409088,4.852890410275311,58.23293172690762
92,Ishan Kishan,2022,MI,16.799465240641712,6.877952876376991,3.9064151356514363,330.0481299932355,12.31640625,-5.438453373623009,58.032128514056225
93,Tillakaratne Dilshan,2011,RCB,6.001494023904383,-0.4168078785211282,4.37294475467035,37.24147823945696,-1.4554748231121213,1.038666944590993,57.630522088353416
94,Ranganath Vinay Kumar,2014,KKR,4.49221183800623,3.5355122324159023,3.323558123864769,35.1627283347313,2.327809383998475,1.2077028484174273,57.630522088353416
95,Shakib Al Hasan,2014,KKR,4.49221183800623,8.77216924456369,6.818646006904761,-34.118711640738,1.226209514290476,7.545959730273214,57.630522088353416
96,Naman Ojha,2011,DC,2.4929282868525897,13.260651408450704,5.318439783528852,-53.126699026034665,2.418189368770765,10.842462039679939,57.429718875502004
97,Eoin Morgan,2015,SRH,2.2905856189770204,8.747228593272169,3.856372564346967,-40.60258492257723,1.5964015151515143,7.150827078120654,56.42570281124498
98,Mohit Sharma,2014,CSK,3.2087227414330215,12.359367648788515,5.09168630243019,-36.981138451095404,5.488194072606564,6.871173576181951,56.425702811244975
