match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
1424832,New Zealand,Pakistan,2024-04-25,Pakistan,field,Win,NA,New Zealand,W O'Rourke,"Gaddafi Stadium, Lahore",Lahore,"TB Robinson, TA Blundell, D Foxcroft, MS Chapman, JDS Neesham, MG Bracewell, JA Clarkson, IS Sodhi, JA Duffy, BV Sears, W O'Rourke","Saim Ayub, Babar Azam, Usman Khan, Fakhar Zaman, Shadab Khan, Iftikhar Ahmed, Imad Wasim, Abbas Afridi, Usama Mir, Mohammad Amir, Zaman Khan",T20,male,New Zealand tour of Pakistan
682925,England,New Zealand,2014-03-22,New Zealand,field,Win,NA,New Zealand,CJ Anderson,Zahur Ahmed Chowdhury Stadium,Chattogram,"MJ Lumb, AD Hales, MM Ali, EJG Morgan, JC Buttler, RS Bopara, CJ Jordan, TT Bresnan, SCJ Broad, JC Tredwell, JW Dernbach","MJ Guptill, KS Williamson, BB McCullum, LRPL Taylor, C Munro, CJ Anderson, L Ronchi, NL McCullum, TG Southee, KD Mills, MJ McClenaghan",T20,male,ICC Men's T20 World Cup
1299581,Ireland,Oman,2022-02-22,Oman,field,Win,NA,Ireland,AR McBrine,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,"PR Stirling, A Balbirnie, GJ Delany, HT Tector, L Tucker, GH Dockrell, AR McBrine, Simi Singh, MR Adair, CA Young, J Little","Jatinder Singh, KH Prajapati, Shoaib Khan, Zeeshan Maqsood, Khurram Nawaz, Khawar Ali, Naseem Khushi, Aamir Kaleem, Fayyaz Butt, Kaleemullah, Bilal Khan",T20,male,ICC Men's T20 World Cup Qualifier A
1273272,Zimbabwe,Scotland,2021-09-17,Zimbabwe,bat,Win,NA,Zimbabwe,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,"I Kaia, RW Chakabva, CR Ervine, W Madhevere, SC Williams, M Shumba, RP Burl, WP Masakadza, TL Chatara, R Ngarava, LM Jongwe","HG Munsey, KJ Coetzer, OJ Hairs, RD Berrington, CS MacLeod, MH Cross, MA Leask, SM Sharif, MRJ Watt, AC Evans, GT Main",T20,male,Zimbabwe tour of Ireland and Scotland
560922,New Zealand,West Indies,2012-07-01,West Indies,bat,Win,NA,West Indies,SP Narine,Central Broward Regional Park Stadium Turf Ground,Lauderhill,"RJ Nicol, MJ Guptill, TG Southee, KS Williamson, DR Flynn, DG Brownlie, TWM Latham, NL McCullum, AM Ellis, DAJ Bracewell, KD Mills","DR Smith, CH Gayle, J Charles, LMP Simmons, DJG Sammy, DJ Bravo, MN Samuels, D Ramdin, S Badree, SP Narine, FH Edwards",T20,male,New Zealand v West Indies T20I Series
1339616,New Zealand,Pakistan,2023-04-17,New Zealand,bat,Win,NA,New Zealand,TWM Latham,"Gaddafi Stadium, Lahore",Lahore,"TWM Latham, CJ Bowes, WA Young, DJ Mitchell, MS Chapman, JDS Neesham, R Ravindra, AF Milne, MJ Henry, IS Sodhi, BG Lister","Mohammad Rizwan, Babar Azam, Fakhar Zaman, Saim Ayub, Shadab Khan, Imad Wasim, Shaheen Shah Afridi, Iftikhar Ahmed, Faheem Ashraf, Naseem Shah, Haris Rauf",T20,male,New Zealand tour of Pakistan
736063,South Africa,West Indies,2015-01-14,West Indies,field,Win,NA,South Africa,MN van Wyk,Kingsmead,Durban,"MN van Wyk, RR Hendricks, D Wiese, RR Rossouw, JP Duminy, JL Ontong, F Behardien, WD Parnell, KJ Abbott, M de Lange, AM Phangiso","DR Smith, LMP Simmons, MN Samuels, ADS Fletcher, DJ Bravo, KA Pollard, AD Russell, DJG Sammy, CR Brathwaite, AR Nurse, SS Cottrell",T20,male,West Indies in South Africa T20I Series
386494,New Zealand,India,2009-02-25,New Zealand,field,Win,NA,New Zealand,BB McCullum,AMI Stadium,Christchurch,"JD Ryder, BB McCullum, MJ Guptill, LRPL Taylor, JDP Oram, NL McCullum, DL Vettori, IG Butler, TG Southee, NT Broom, IE O'Brien","G Gambhir, V Sehwag, SK Raina, RG Sharma, Yuvraj Singh, MS Dhoni, YK Pathan, IK Pathan, Harbhajan Singh, Z Khan, I Sharma",T20,male,India in New Zealand T20I Series
439510,Ireland,Netherlands,2010-02-13,Ireland,bat,Win,NA,Ireland,AR Cusack,Dubai International Cricket Stadium,,"WTS Porterfield, NJ O'Brien, AR Cusack, DT Johnston, GC Wilson, KJ O'Brien, JF Mooney, AR White, AC Botha, GH Dockrell, PC Connell","AN Kervezee, ES Szwarczynski, Mudassar Bukhari, B Zuiderent, RN ten Doeschate, DLS van Bunge, PW Borren, AF Buurman, MBS Jonkman, PM Seelaar, Mohammad Kashif",T20,male,ICC World Twenty20 Qualifier
1512766,India,Zimbabwe,2026-02-26,Zimbabwe,field,Win,NA,India,HH Pandya,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"SV Samson, Abhishek Sharma, Ishan Kishan, SA Yadav, HH Pandya, Tilak Varma, S Dube, AR Patel, Arshdeep Singh, CV Varun, JJ Bumrah","BJ Bennett, T Marumani, D Myers, Sikandar Raza, RP Burl, T Munyonga, T Musekiwa, B Evans, TT Maposa, B Muzarabani, R Ngarava",T20,male,ICC Men's T20 World Cup
