cricsheet_id,player_id,canonical_name,has_ipl,has_t20i
de4b0555,P0556,LR Shukla,True,False
ba6b2f91,P0859,Raj Angad Bawa,True,False
36619795,P1200,Zeeshan Ansari,True,False
3fca55af,P0921,S Sohal,True,True
4bd09374,P0072,Akash Madhwal,True,False
0494fa6e,P1157,Vishnu Vinod,True,False
26d76ad9,P1152,Virat Singh,True,False
6c882e9a,P0756,PBB Rajapaksa,True,True
0a67aec0,P0071,Akash Deep,True,False
44aac2f0,P0127,Arjun Tendulkar,True,False
c0c411cb,P0726,Naveen-ul-Haq,True,False
641ac5ff,P0397,Ish Sodhi,True,True
a343262c,P0465,Joe Root,True,True
1b7b0fa7,P1160,Vivrant Sharma,True,False
e32d22f6,P0768,Pankaj Singh,True,False
a2870fb7,P0709,NK Patel,True,False
c6097d68,P0089,Alfonso Thomas,True,True
cfa4bd2b,P0807,Prithvi Raj,True,False
b0f2baf4,P0975,Swapnil Singh,True,False
3dba85c2,P1162,WA Mota,True,False
30a2649b,P0209,C M Gautam,True,False
99b202b3,P0003,A Chandila,True,False
cdc6bdba,P0920,S Sandeep Warrier,True,True
8f6dd463,P0156,Azmatullah Omarzai,True,False
983f2f61,P0975,Swapnil Singh,True,False
62175638,P0514,Karim Janat,True,False
4885bbe6,P1191,Yudhvir Singh,True,False
cf73ad76,P0421,James Franklin,True,True
d2340a43,P0099,Anand Rajan,True,False
3ae3f034,P0041,AUK Pathan,True,False
c64c2443,P0413,J Syed Mohammed,True,False
60500956,P0847,RV Patel,True,False
30df8c66,P1044,Simarjeet Singh,True,False
9170ff49,P0773,Parveez Rasool,True,True
27e71d47,P0490,K Upadhyay,True,False
cd8d2859,P0257,DG Nalkande,True,False
1a2676c5,P0993,Sean Abbott,True,True
54e52590,P1146,Vijaykumar Vyshak,True,False
b56dc5f7,P0169,Beuran Hendricks,True,True
ebcfef83,P0378,Himmat Singh,True,False
fdedb37c,P0934,SM Katich,True,True
661b0266,P0504,KV Sharma,True,False
facb9086,P0927,SD Chitnis,True,False
1ac746c8,P0146,Atharva Taide,True,False
1efb8a28,P0019,AC Blizzard,True,False
6ab96cc2,P0924,SA Yadav,True,False
16043342,P0017,AB McDonald,True,False
52294a79,P0366,H Sharma,True,False
a457cfb5,P0648,Mayank Dagar,True,False
9e7225b0,P0987,Saurav Chuahan,True,False
80b2fb19,P0806,Prince Yadav,True,False
f1809c03,P1091,Tanay Thyagarajann,True,False
cf59b3f0,P1117,Urvil Patel,True,False
c28e9f12,P1095,Tejas Baroka,True,False
33ffc3dd,P0829,R Sanjay Yadav,True,False
b2ae53f5,P1079,T Thushara,True,True
12314277,P0130,Arshad Khan,True,False
97290faf,P0037,AS Joseph,True,True
f836b33d,P1105,Tom Kohler-Cadmore,True,False
6f49cc6e,P1023,Shivalik Sharma,True,False
d621b427,P0699,Musheer Khan,True,False
57ca01b3,P0539,Kumar Kushagra,True,False
c2dd89ea,P0161,B R Sharath,True,False
39ed0d2f,P0504,KV Sharma,True,False
5724e517,P1094,Tanush Kotian,True,False
0404d43c,P0565,Litton Das,True,True
249abedf,P0438,Jalaj Saxena,True,False
e186f49c,P0639,Mashrafe Mortaza,True,True
b4296080,P0657,Milind Kumar,True,True
9a5f2863,P0679,Mohit Rathee,True,False
2bb09eb2,P0668,Mohammed Ashraful,True,True
e1d9ae9c,P1022,Shiva Singh,True,False
c9cac448,P1070,Sushant Mishra,True,True
99258814,P0363,Gurnoor Singh Brar,True,False
50c09020,P0137,Ashok Sharma,True,False
0edcb652,P1055,Subhranshu Senapati,True,False
ade90de7,P0918,S Midhun,True,False
